anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;17 Carta e prodotti di carta;Tot_complessivo_in_fr.;importazioni;2300608104.85
2016;Svizzera;18 Servizi di stampa e di registrazione;Tot_congiunturale_in_fr.;esportazioni;113790840.97
2016;Svizzera;18 Servizi di stampa e di registrazione;Tot_congiunturale_in_fr.;importazioni;38329461.26
2016;Svizzera;18 Servizi di stampa e di registrazione;Tot_complessivo_in_fr.;esportazioni;113790840.97
2016;Svizzera;18 Servizi di stampa e di registrazione;Tot_complessivo_in_fr.;importazioni;38329461.26
2016;Svizzera;19 Coke e prodotti petroliferi raffinati;Tot_congiunturale_in_fr.;esportazioni;434338230.13
2016;Svizzera;19 Coke e prodotti petroliferi raffinati;Tot_congiunturale_in_fr.;importazioni;3465475952.13
2016;Svizzera;19 Coke e prodotti petroliferi raffinati;Tot_complessivo_in_fr.;esportazioni;434338230.13
2016;Svizzera;19 Coke e prodotti petroliferi raffinati;Tot_complessivo_in_fr.;importazioni;3465475952.13
2016;Svizzera;20 Prodotti chimici;Tot_congiunturale_in_fr.;esportazioni;18071385322.77
2016;Svizzera;20 Prodotti chimici;Tot_congiunturale_in_fr.;importazioni;14235618885.03
2016;Svizzera;20 Prodotti chimici;Tot_complessivo_in_fr.;esportazioni;18091048025.75
2016;Svizzera;20 Prodotti chimici;Tot_complessivo_in_fr.;importazioni;14252345142.05
2016;Svizzera;21 Prodotti farmaceutici di base e preparati farmaceutici;Tot_congiunturale_in_fr.;esportazioni;75712740885.87
2016;Svizzera;21 Prodotti farmaceutici di base e preparati farmaceutici;Tot_congiunturale_in_fr.;importazioni;29541798018.36
2016;Svizzera;21 Prodotti farmaceutici di base e preparati farmaceutici;Tot_complessivo_in_fr.;esportazioni;75712740885.87
2016;Svizzera;21 Prodotti farmaceutici di base e preparati farmaceutici;Tot_complessivo_in_fr.;importazioni;29541798018.36
2016;Svizzera;22 Articoli in gomma e materie plastiche;Tot_congiunturale_in_fr.;esportazioni;3636862433.26
2016;Svizzera;22 Articoli in gomma e materie plastiche;Tot_congiunturale_in_fr.;importazioni;5254204191.13
